_id,comment,images,score,publish_date,room_type,fuzzy_room_type,travel_type,comment_len,log_comment_len,useful_count,log_useful_count,review_count,log_review_count,quality_score,categories
68027895e3c98b0941765706,"房间非常好 装修很厚重奢华 一开始看评论 看酒店自己po的照片 感觉跟快捷酒店一样 有些害怕  但来了之后 真的很惊喜 装修很厚重 很奢华 跟一些老牌的日系酒店 （帝国酒店）之类的感觉 没想到在广州也有这样开业时间很长但仍然配套跟得上的酒店。。
服务很好！ 门童拿行李迎宾开门 比一些国际连锁的五星要好多了。 退房时候liren还帮忙直接登记了退房 不用排队了。什么时候北京的酒店服务也能跟上广州呢。。。

另外吃的真的很好

晚上去楼顶旋转自助吃 螃蟹腿鲍鱼进口生蚝 吃撑了 还有最爱吃的金蒜牛肉 做的真的很好吃 比北京第六季那种什么海鲜都拿来涮的自助强好多

酒店里还有花园 大锦鲤吃的真的好 又大又肥

总体来说 物超所值  下次还来","[ ""https://dimg04.c-ctrip.com/images/0230y12000jkw8gdf4A0A_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0232p12000jkw8c5xF397_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0230112000jkw939u15B4_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0234q12000jkvndawCBC2_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233k12000jkvsb4g1234_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0231m12000jkvk75x709D_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0232v12000jkvf2xf4D38_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0230p12000jkufeze39FC_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0236012000jkura218677_R_150_150_R5_Q70_D.jpg"" ]",5.0,2025-04-05,红棉大床套房,套房,家庭亲子,320,5.771441123130016,0,0.0,7,2.079441541679836,9,"['整体满意度', '餐饮设施', '前台服务']"
68027895e3c98b0941765707,花园酒店广州的老牌五星，一直期望的入住。房间我入住时要求前台帮我升级了新装修的房间，粤韵。其他的房型是没装修过的。房间大，干净，就是卫生间没隐私，换衣服要躲在淋浴房里才行。其他的环境设置泳池，都挺好，服务员服务水平一般，没有白天鹅感受的温暖，感觉有点冷冷的。外国人很多，地铁口离酒店门口有一点点距离，步行6-7分钟。早餐很用心，菜品昧道很赞。家庭亲子不建议，可以来吃饭，住就可以选其他更好的，白天鹅宾馆新装修的，房型很不错。建议花园酒店参考改进。,"[ ""https://dimg04.c-ctrip.com/images/0234612000jml1bu97948_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0232v12000jmlltnv9C48_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0234r12000jmlwvj27D09_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0235l12000jmla5r8B949_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0231512000jmlt43f8C15_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233a12000jmljk7w3D88_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0235z12000jmlqsjnC28A_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0234n12000jmlltnz635C_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0236812000jml0ofx32FD_R_150_150_R5_Q70_D.jpg"" ]",4.2,2025-04-07,红棉大床套房,套房,独自旅行,223,5.41164605185504,0,0.0,28,3.367295829986474,8,"['房间设施', '整体满意度', '交通便利性']"
68027895e3c98b0941765708,一进酒店就感觉来到了桃花源，迎宾人员都很热情，彬彬有礼，房间也非常不错，床品都很舒服，洗嗽用品的香味很好闻！还有旋转自助餐厅非常不错，食材品质都很好，厨师手艺在线！四楼的还有个酒店博物馆值得一去！最后感谢携程推荐了这么好的酒店！下次来广州还住这里！,"[ ""https://dimg04.c-ctrip.com/images/0230112000jtm270m91CD_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233212000jtl7c8n322A_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233r12000jtmmrhc9D05_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0231f12000jtmfku7DC66_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0236v12000jtmc1eh29DB_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0232012000jtlbtxw3284_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233212000jtl7q7304D1_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233712000jtmfkub6EF8_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0235j12000jtmmrhg0A67_R_150_150_R5_Q70_D.jpg"" ]",5.0,2025-04-15,花园双床房,双床房,商务出差,124,4.8283137373023015,0,0.0,11,2.4849066497880004,8,"['整体满意度', '前台服务', '餐饮设施']"
68027895e3c98b0941765709,总体来说很好。早餐有两个地方可以用，最上层的旋转餐厅用早餐感觉还是非常不错的。另外酒店的后花园也挺好，硕大的锦鲤鱼??甚是好看。酒店四楼的“酒店博物馆”再次惊到我，内容非常丰富，不愧是钻石五星酒店。,"[ ""https://dimg04.c-ctrip.com/images/0231r12000jtfoc894D7B_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0236612000jti1meo5C49_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0230112000jthv7clA49D_R_150_150_R5_Q70_D.jpg"" ]",5.0,2025-04-15,花园大床房,大床房,情侣出游,99,4.605170185988092,1,0.6931471805599453,18,2.9444389791664403,9,"['餐饮设施', '公共设施', '整体满意度']"
68027895e3c98b094176570a,多年没来广州，临时起意过来住花园酒店，环境舒适，没有想象中的老式，全员服务在线，礼貌周到，给顾客一种所有员工都在朝着让客人满意的方向努力的感觉，也因此使得本来因夜里市政修路产生噪音而换房的麻烦也显得没那么让人烦躁了。 订的双早，入住的时候小姐姐给小孩也赠送了早餐，客房服务速度很快，整个入住体验如沐春风不为过，担得起广州地标的称誉,"[ ""https://dimg04.c-ctrip.com/images/0231o12000jm0k1l221A4_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233p12000jm1p6xfBBB4_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0234412000jm0wxnz0DD8_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233e12000jm133ibF8B5_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0231j12000jm1g63tBCFD_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0235n12000jm0nrai5C3C_R_150_150_R5_Q70_D.jpg"" ]",5.0,2025-04-06,花园双床房,双床房,家庭亲子,165,5.111987788356544,0,0.0,13,2.6390573296152584,9,"['整体满意度', '前台服务', '客房服务']"
68027895e3c98b094176570b,"酒店环境很好，房间干净整洁，视野不错。酒店的后花园挺漂亮的，可以逛逛。附近买吃的也方便。
美中不足的因为少带充电线，但是酒店借的充电线是完全不能用的，和酒店服务部说明后，工作人员说没有多余的充电线了。好在可以借充电宝或在酒店的迷你超市买充电线。
总体来说是不错的体验。","[ ""https://dimg04.c-ctrip.com/images/02355224x90fb4hhv9F3F_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0234f224x90fae98s4408_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0234y224x90fam7nr57BB_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/02369224x90fa89ha04CF_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/02312224x90fc1xvn7124_R_150_150_R5_Q70_D.jpg"" ]",5.0,2025-04-06,花园大床房,大床房,朋友出游,134,4.90527477843843,0,0.0,21,3.091042453358316,7,"['卫生状况', '周边配套', '整体满意度']"
68027895e3c98b094176570c,有集团金卡可以免费升级房型，酒店装修过非常的漂亮，后花园很大，景色很好。早餐非常好吃，电梯很多不用等。服务态度也很好，大厅的人员很多，去哪里都有人主动上来招待。礼宾部寄存行李的地方态度很好，速度很快。,"[ ""https://dimg04.c-ctrip.com/images/0231m12000jk0k7md2563_R_150_150_R5_Q70_D.jpg"" ]",5.0,2025-04-04,花园大床房,大床房,朋友出游,100,4.61512051684126,0,0.0,12,2.5649493574615367,8,"['整体满意度', '前台服务', '餐饮设施']"
68027895e3c98b094176570d,"酒店房间上放着餐厅有75折扣优惠，并且没有写有截至时间，但是去餐厅用完餐就被告知已经没有优惠了，这个餐饮优惠活动没有和客房服务能够同步非常让人失望，对我们住店客户有很大的误导性。
客房打扫人员，每天都把使用过的牙膏扔掉，这个浪费很大，本来牙膏在没有使用完我都还可以继续使用，现在只能每天都开个新的牙刷牙膏套装，非常不环保和浪费。建议牙膏牙刷分开装，客户自己没有扔掉服务员不要帮扔。","[ ""https://dimg04.c-ctrip.com/images/0235l12000jjk05i0780F_R_150_150_R5_Q70_D.png"" ]",4.0,2025-04-04,花园大床房,大床房,商务出差,190,5.25227342804663,0,0.0,7,2.079441541679836,8,"['餐饮设施', '客房服务']"
68027895e3c98b094176570e,"酒店服务相当不错，很有礼貌，入住和退房是挺快的。入住时还送了两朵康乃馨。不值钱，但是心意是有的。如果房间配个花瓶会更好，我们是用杯子插的。
酒店古色古香，像是行走中的博物馆，而且4楼真的有一个博物馆。介绍了很多酒店的历史，值得参观。博物馆是7点结束，所以要早点去。
自助点心晚餐和自助早餐都还不错，个人对自助点心晚餐是比较满意的，品质味道都有保证，我特别喜欢芋角和麻薯。女儿就非常喜欢吃牛百叶，吃了五笼。
我比较喜欢吃面包，但是自助早餐的面包有点让我失望。其他还是可以的。
最重要的房间，也是我没想到的，床头就是冲凉房，冲凉房就是一个浴缸，直接上浴缸。而且厕所门是同一个冲凉就不能上厕所，上厕所就不能冲凉。蛮尴尬的。
床和枕头还是蛮舒服的。
但电视机没办法投屏，有时候想看一些手机上的剧，想投到电视上就没办法。
看来我们住的是比较便宜的房间，所以比较小，我看到网上红棉房那个房型是比较好的，但是价格贵。
有钱建议还是订红棉房。","[ ""https://dimg04.c-ctrip.com/images/0233q12000ihkzye7D554_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233y12000ihlct4l2456_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0230812000ihl3x47F9AB_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233012000ihl55so1212_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0231212000ihljihh0E49_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0233g12000ihkvn8k89F7_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0235d12000ihlfqgg3CA3_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0235e12000ihlilg5DD0F_R_150_150_R5_Q70_D.jpg"", ""https://dimg04.c-ctrip.com/images/0235812000ihl9atsBF2A_R_150_150_R5_Q70_D.jpg"" ]",5.0,2025-02-12,花园双床房,双床房,家庭亲子,413,6.025865973825314,1,0.6931471805599453,10,2.3978952727983707,9,"['房间设施', '前台服务', '退房/入住效率']"
68027895e3c98b094176570f,房间硬件不错，服务、餐饮不及格，沟通好的生日主题布置，居然忘记了！提醒前台以后特意离开房间给工作人员布置，结果回房间一看，蛋糕没有，一问，原来送到别人的房间去了！无语！所谓的瀑布餐厅的早餐，更加无语！排队就算了！里面的菜品不如快捷酒店！2百多一位的早餐 和其他酒店38元一位的差不多！咖啡还没快捷酒店的好！至于荔湾亭的好评绝对是花钱买的！全部扎扎实实的预制菜！隐形消费多！吃顿饭补了3次钱！自助餐居然茶位费需要另付！白开水也要18元一位！,"[ ""https://dimg04.c-ctrip.com/images/0231x12000jf5r5l88FF8_R_150_150_R5_Q70_D.jpg"" ]",3.6,2025-03-30,红棉大床套房,套房,家庭亲子,219,5.393627546352362,0,0.0,16,2.833213344056216,9,"['餐饮设施', '前台服务', '性价比']"
